x,y,z,Bx,By,Bz
0,0,-0.01,0.000906811,0.000241848,0.132876
0,0,-0.0095,0.000976683,0.000189511,0.148887
0,0,-0.009,0.00105473,0.000107694,0.167295
0,0,-0.0085,0.00114213,-1.42359e-05,0.188475
0,0,-0.008,0.0012401,-0.000189942,0.212837
0,0,-0.0075,0.00134987,-0.000436479,0.240817
0,0,-0.007,0.00147236,-0.000774257,0.272849
0,0,-0.0065,0.00160788,-0.00122616,0.309325
0,0,-0.006,0.00175541,-0.00181522,0.35053
0,0,-0.0055,0.00191184,-0.00256024,0.396558
0,0,-0.005,0.00207085,-0.00346882,0.447211
0,0,-0.0045,0.00222229,-0.0045288,0.501913
0,0,-0.004,0.00235235,-0.00570059,0.559664
0,0,-0.0035,0.00244572,-0.00691601,0.619114
0,0,-0.003,0.00249022,-0.00808981,0.678771
0,0,-0.0025,0.00248278,-0.00914633,0.737356
0,0,-0.002,0.00243442,-0.0100547,0.794178
0,0,-0.0015,0.00237061,-0.0108557,0.84936
0,0,-0.001,0.00232546,-0.0116625,0.903754
0,0,-0.0005,0.00233136,-0.0126294,0.958486
0,0,0,0.0024079,-0.0138964,1.01425
0,0,0.0005,0.00255369,-0.0155303,1.07056
0,0,0.001,0.00274312,-0.0174788,1.12527
0,0,0.0015,0.00292898,-0.0195508,1.17443
0,0,0.002,0.00305143,-0.0214367,1.21275
0,0,0.0025,0.00305266,-0.0227726,1.2346
0,0,0.003,0.0028936,-0.0232394,1.23532
0,0,0.0035,0.00256661,-0.022662,1.21242
0,0,0.004,0.00209832,-0.021065,1.16632
0,0,0.0045,0.00154107,-0.0186594,1.10025
0,0,0.005,0.000957103,-0.0157686,1.0194
0,0,0.0055,0.000402563,-0.0127328,0.929768
0,0,0.006,-8.28203e-05,-0.00983311,0.837055
0,0,0.0065,-0.000478605,-0.00725427,0.745927
0,0,0.007,-0.000780809,-0.00508494,0.659715
0,0,0.0075,-0.000996542,-0.00333928,0.580449
0,0,0.008,-0.00113867,-0.00198465,0.509092
0,0,0.0085,-0.00122182,-0.000965488,0.445831
0,0,0.009,-0.00125989,-0.000219975,0.390351
0,0,0.0095,-0.00126488,0.0003103,0.34205
0,0,0.01,-0.00124656,0.00067585,0.300193
0.0005,0,-0.01,-0.00650565,0.000215724,0.132382
0.0005,0,-0.0095,-0.00753952,0.000159389,0.148313
0.0005,0,-0.009,-0.00874077,7.222e-05,0.16663
0.0005,0,-0.0085,-0.0101285,-5.70834e-05,0.18771
0.0005,0,-0.008,-0.0117177,-0.000243191,0.211966
0.0005,0,-0.0075,-0.0135146,-0.000504649,0.23984
0.0005,0,-0.007,-0.0155092,-0.000863997,0.271777
0.0005,0,-0.0065,-0.0176664,-0.00134703,0.308181
0.0005,0,-0.006,-0.0199148,-0.00198048,0.349359
0.0005,0,-0.0055,-0.0221372,-0.0027872,0.395427
0.0005,0,-0.005,-0.0241681,-0.00377823,0.446209
0.0005,0,-0.0045,-0.0258075,-0.00494216,0.501133
0.0005,0,-0.004,-0.02686,-0.00623484,0.559184
0.0005,0,-0.0035,-0.027201,-0.00757596,0.618955
0.0005,0,-0.003,-0.0268539,-0.00886126,0.67887
0.0005,0,-0.0025,-0.0260355,-0.0099951,0.737564
0.0005,0,-0.002,-0.0251235,-0.0109358,0.794298
0.0005,0,-0.0015,-0.0245262,-0.0117318,0.849236
0.0005,0,-0.001,-0.0244947,-0.0125239,0.903353
0.0005,0,-0.0005,-0.0249617,-0.013506,0.957953
0.0005,0,0,-0.0254788,-0.0148567,1.0139
0.0005,0,0.0005,-0.0252784,-0.0166673,1.07083
0.0005,0,0.001,-0.0234477,-0.0188851,1.12658
0.0005,0,0.0015,-0.019183,-0.021289,1.17707
0.0005,0,0.002,-0.012076,-0.0235084,1.21676
0.0005,0,0.0025,-0.00234369,-0.0251009,1.23967
0.0005,0,0.003,0.00911165,-0.025675,1.24083
0.0005,0,0.0035,0.0208881,-0.0250181,1.21763
0.0005,0,0.004,0.0314713,-0.0231681,1.17055
0.0005,0,0.0045,0.0396577,-0.0203924,1.10307
0.0005,0,0.005,0.0448265,-0.0170887,1.02069
0.0005,0,0.0055,0.0469734,-0.0136625,0.929673
